Restaurant,Address,Latitude,Longitude,Cusines,Photo_reference,Google_map_link
Freehouse,"10 Gemmill Ln, Singapore 069251",1.2824152,103.8469632,"Bar, Fusion, Vegetarian Friendly",ATtYBwIFZJ7B3W3xoSMzD24ZIy9w3i1n77UES2pjuI5aqmQlHD3_Hs8Lb6Dk1xCSEbCPJ6RZ4K2H7KBC1giP6Q3resdREI1jBAVeY4FYc-9g0q4rNosvvM0g0O75HHE4mCFOEtLufe8TJEreMG1BqOeAlRVOrvp5DSQZ1lbKlT-xRGoq8Nvj,https://www.google.com/maps/search/?api=1&query=Freehouse
Fremantle Seafood Market,"3E River Valley Rd, #01-05/06, Singapore 179024",1.2902471,103.8465255,"Australian, Seafood, Southeast Asian",ATtYBwKj-2LFOSqC9oyXeAg1RADbWneWuAblzghen9f_fe0DAPWJjs-i0eK0uHnFGgAITzgG-pC5Ep7-6kwtJvHehXzHxe_bNYtIK7dXCVyabRz-KG5naVgVlDvZADXaebjIgjjk2K7ZWByJ045-9-tw_37-VOIcLpzdeFr9Kh2RHolzcd1k,https://www.google.com/maps/search/?api=1&query=Fremantle+Seafood+Market
Frenchie Wine Bar,"2 Teck Lim Rd, Singapore 088380",1.2801796,103.8420826,"Bar, French",ATtYBwLESZnMw6k-_qmhl0tqE7qghwKamzj_7Zx3A6SITlOTl5prRcEpuUppWfOkyQRFU-vuhVt3XfIhAQubEo-FF4vlJfe7wjL9iYu7EQ1Sdx7HPWlKnWXWzUQ0ttSI-Yw0A0ddujPJk_Fz_PuIuCBU07EW0lLA4nL4fqkbr19Yge2pobDI,https://www.google.com/maps/search/?api=1&query=Frenchie+Wine+Bar
Frieda (The Capitol Kempinski Hotel Singapore),"15 Stamford Rd, Singapore 178906",1.293891,103.8513613,German,ATtYBwLky3E_ljSnUkRojjR-7nn5Rs_sYhz1Iwn7uwoRbCOi1hzQ3HKBr1Zy--d01a9flRl8Lo_hioVv3XxWNaDeu43sTdapv7-uDoWG6p-Xzk_CGFUOmiFEWElLO9SgYLVAcjzAf0KEjZfbVK_F_ddvyoYALtobpgtyY5i5zi_5xxLnR5gE,https://www.google.com/maps/search/?api=1&query=Frieda+%28The+Capitol+Kempinski+Hotel+Singapore%29
Friends Tasty Korea,"431 Sembawang Rd, Singapore 758396",1.4280873,103.82654,"Bar, Buffet, Korean, BBQ",ATtYBwJoWiipCEDCXkHRh5pA8KQAYN2d0uAR-OqgChfGAV8WBYv-zOQdiPZmrbdKv-ZLfk3GjcQbzwDhOiwg5ajdlaSfi0kb_aywHquBNY7tAe90g9k5xrgJUEa2vdoGDI67XucIdXOh3QxHaIYdLVjWckwhzTPAvaI6P_IzbwB1vAYPDtTj,https://www.google.com/maps/search/?api=1&query=Friends+Tasty+Korea
Frog Meat Fish Head 美蛙鱼头,"5 Mosque St, Singapore 059485",1.284032,103.844054,"Chinese, Steamboat",ATtYBwIMWgJaPV1AXb9tQT8NNzsDt4T3E8Ms4Ao1AsstBejkMROPJHLD7VHa5ZLnjmm9UauGzxfE1mDZaUqClxLJiWwD5ZWxJfyoPhIHnitq6Xsc61PnAuGWXSknAcpNIVpBenGuhtu4lyiLZWGYTrH5jfSL5QI2CJv2NqYonvf7LpHqQkkD,https://www.google.com/maps/search/?api=1&query=Frog+Meat+Fish+Head+%E7%BE%8E%E8%9B%99%E9%B1%BC%E5%A4%B4
Fu Lin Bar & Kitchen,"127 Telok Ayer St, Singapore 068596",1.2811178,103.8479356,"Chinese, Spanish, Local",ATtYBwKW0tjRCzjexJ4kqAtOvbQ6q_4Q1n7MKkt4qZKRTs9cW1uE7zHixUkK07pjb94UsD5C09NuIOKH9EQoAoqh7tanl2L6lyE_rNuHqacNW7gguhNeILKASEOmkKQi9mxysdcVy6RORTefMNTXGwNNh882xdFSBngSnFAkko1GLzl8QWAZ,https://www.google.com/maps/search/?api=1&query=Fu+Lin+Bar+%26+Kitchen
Fukusen Izakaya,"51 Jln Sultan, Singapore 198975",1.3024337,103.8615408,"Bar, Japanese, BBQ",ATtYBwI-rh8dOIiAwrMYlbQFpO7ZO1t0CgRfVuhcrfC1AWm1Q80yrJSW-h8iPK6lFLsTve5Z3iyl5qDfOuu5dPAsArNpldkIi2FFT0S91r7XnTA1zztUOZ9lmIozhzKQSW6tEs7uxX59ai4fQBo_PEku7LvNtzOAhQPd5ZlpTHQ4BozfQRR1,https://www.google.com/maps/search/?api=1&query=Fukusen+Izakaya
Full of Luck Restaurant,"243 Holland Ave, Singapore 278977",1.311156,103.7957,"Bar, Chinese, Fusion",ATtYBwLId2vVIg_YO1QiTt_sRgBeCaSzfpDDdkhK4EWVrUW0zWxk7h773okszG-jM-5ybL-1he4b0aYSQu3ba5W8Hgvdy6E2yn8jGsEEx4JBHBUWUGdwar8TmiRFAAmHx7CWy8JC8XEEC89OMBQYfF8NiyHeLtJwpo4JSOiKpTQtf5gWed7j,https://www.google.com/maps/search/?api=1&query=Full+of+Luck+Restaurant
fȳr,"19 Boon Tat St, Singapore 069619",1.28131,103.848423,"Modern European, Steakhouse",ATtYBwIHBm1EbcJ4RsxVD5hVLYvzOABqEhuw_OAnLsew92yFwgbi2Cz88Wsy4RmBbCWHgTlyi_CsGPSK_6kB9OANsEnF5V1-A0tXfs-tqlhi1L4Z8zQgnCtM_FRlvM9hqVAY4x1Y3byzVvEJbaYrx3WbJaZr07IAXb4nJFu0PEFLv_uYd6cc,https://www.google.com/maps/search/?api=1&query=f%C8%B3r
Gabbar Bistro & Bar,"3B River Valley Rd, Blk B Clarke Quay, #01-14, Singapore 179021",1.2908714,103.8455537,"Bar, Indian, Vegetarian Friendly",ATtYBwKXUjhw3ebtq9L9BgBMSu1xX1F1EapP3cwda39pDJUfCD5x9njW5dLNXYy85KteEj3R_Hh04bLIB-Xz72o6D9OR1seOQgFwP_5ksU2heUXO1ybD8viycbMDKQTgX60WJhxd_gSOrlcU8apM5tvHoP5gQZRYM3CkVjlqYqK7mZ_YIZIW,https://www.google.com/maps/search/?api=1&query=Gabbar+Bistro+%26+Bar
Gaig,"16 Stanley St, Singapore 068735",1.280476,103.84807,Spanish,ATtYBwIBKoRineCmvrQiJBV2fYFUC3U8xqs9i_n3Z5LVFwRVcgOpFOqVfH4q_3FfuMRqyebZRHJwMuwtUQRIEAVt5SNUtFgJ5LN5uEbLvFeaZNxFGfjSTBTulAAiwRfQkNpENjH19mupoej105DnOH7i8Est021DGL_JDbNHcHBFi5SMXDYG,https://www.google.com/maps/search/?api=1&query=Gaig
The Gallery Bistro,"#01-11/12/13/14/17 National Gallery Singapore, 1 St Andrew's Rd, Singapore 178957",1.2912125,103.8517865,Cafe,ATtYBwJ_wa1N2ZusXTzheYmRrc5gbj0teb69LbZex6x5wIjPHl1PRMB8LtHpkl4KYVUsWxYKL32deGA_NNa5VHf04XwMok3yOluGCByGpt9g9jNm-Z6X4nEyTQaGzt_fFSvAJM-mLFZd9skpPpaJhHhxiPku_vvp4842fP0SoR9NRqV76516,https://www.google.com/maps/search/?api=1&query=The+Gallery+Bistro
The Garden Kitchen,"10 Raeburn Park, #01-28/29/30, Singapore 088702",1.2734327,103.8334053,"American, Japanese, British",ATtYBwJo2jXM02FEdsd9bLyCulLkCVTEos1A3Kz5aDqJSP-qX8XZ8ggGYy9c-AeKS45qhRU-ItLYFUZAVvkQDk7lbmlpxLHGV3RP6l1MpOMsZlzVBritMIcPk7o1R2dsj3T_Zd6qI5s5tArgE3vU6-z9vBi4VFwyvsfSQQ3_ujFuk_8cj5dy,https://www.google.com/maps/search/?api=1&query=The+Garden+Kitchen
The Garden,"1 Serangoon North view, Singapore 554343",1.3666044,103.8705078,"International, Vegetarian Friendly",ATtYBwJcNLs_RTOzmEUGPiTi2zrxXtuRlrN1uaO77S5hCR8KY22Thy3vEw5ged-CzvJyRxtk6qPR0YhuUFoQKD-D3FA-tlgwihkXdeyxRzTvDrjzHRWkXA2qXfd4d-qHs6lSSArQBOi3ebkftF_bwMBzeUwOEXBbUzsE9rFzQNFzWB8EUtqG,https://www.google.com/maps/search/?api=1&query=The+Garden
Gaston,"25 Keong Saik Rd., Singapore 089132",1.279837,103.84145,French,ATtYBwKq8Jd8fiQq3hLS9vWT9rVv-CWIhQgTpLmit8NKw3jNtYDmPH2d7vKnGyt4QOlobZdIbau_8KwmLhsgvg121kI8_wBTT2rueSWjnPe5CcM3JzT2vSLxT656nVR9iA7dZwra6pJU_wOFQ2fb-txe1mIrYuy_8CyYt2Il8TFD2-Cn8yJR,https://www.google.com/maps/search/?api=1&query=Gaston
Gattopardo Ristorante di Mare,"34 Tras St, Singapore 079026",1.2785227,103.8443266,"Italian, Seafood",ATtYBwJdpVZw4J5agDt9vRLnDzgWq6VVsxaJPVcZmK9U4MuFDiYd0ipKkmzuiTFOpuImteem86GudgfhrGdTxAH7spxnz2nmmTG7vHzueFS3ldQbKvTgD6fut-wuDT08GguzA4tvPOr3PXyw9tT6EGu56hxjjM5CZwsHS_93uKRKF2A6q9iI,https://www.google.com/maps/search/?api=1&query=Gattopardo+Ristorante+di+Mare
GaZette,"Telok Ayer St, 165, Singapore 068617",1.2802363,103.8475824,Modern European,ATtYBwLHqo1oZv-Va3sfKOF7Xs5Wco0SghKoEfDCca8QShIe4NWALdsQqiNmutuoV-LboRaSa9WGzRn7OHx0eus5bKtVNm_cMFcgm1H-PR-g2yOklud_3pZDrFmQF-b0Me4KtRhxB1vBl6tnGetVs4jrpnaevOIxAf_sUPOtGeJYxlGxVK6X,https://www.google.com/maps/search/?api=1&query=GaZette
Gem Bar,"10 Ann Siang Hill, Singapore 069789",1.2814274,103.8454726,"Local, Southeast Asian, Burgers",ATtYBwJoKjlTag-gbZlmT-BgVL6B6i3k6ZpJDhz89FCJzwbthMlgSbc8zCG-3K2IehhUyqyHvb6ViX7ZV40XQcVP7YZLU8s-06zQ5CO_7MeHR01WJm4kZMeUek8O_chIaigt5FHty-MFyEkpMFVpqlcGM7129TQlxifGf0tNLvGg9QJeksZs,https://www.google.com/maps/search/?api=1&query=Gem+Bar
Genius Central Singapore,"#01-01 7-13 Amoy Street Far east square, Singapore 049949",1.282888,103.848436,"Cafe, Pizza, Burgers",ATtYBwKA62Vteazg94Pec7oKVrVt9VIwFFloMyzf4fBA3Qk2u0C06drg4FKIdZvaB9r0znr0f5vio_wVNhibJ-Eb_CVwSmSw9fIbVav9tk9QmGlZBxugvwYWWmVhK31w1O0oVJq-FkNH-ymU-QZq80ZjCKc3A3nIr9GEKBwVOgzukP_nzqBE,https://www.google.com/maps/search/?api=1&query=Genius+Central+Singapore
George Town Tze Char & Craft Beer,"81 Boat Quay, Singapore 049869",1.2884155,103.8492835,"Bar, Chinese, Local",ATtYBwIPOna9FyAMzozp36zfp_fVtODLss0TRhqv2VQ4rBKfPphFBjTCFicdITSNxzU-5p5tpFcX0K2e78V1k9Syi05OQWJ2sgMgNTutxs91jUuioCGbhV49ddJE_be9s2qIgm4UBO2DXAjEqZdmAnp-JMWxzIVmZ3WxkEehuPnF96YSDQtT,https://www.google.com/maps/search/?api=1&query=George+Town+Tze+Char+%26+Craft+Beer
Georges @ The Cove,"133 Pasir Ris Rd, Singapore 519149",1.3849957,103.9448385,"American, Bar, Seafood, Vegetarian Friendly, Local, Cafe",ATtYBwJG_gbV69xvVsYhI1yWXZqxguczSUv97uMXB4q4pKCwmQslOa2z17K4esNn8Nwfza8zfuwhESt5QCk2xqVfU-RMDKFSfpYGqhVHSCr1KrFa78LRPrd9eZCK9_4G6GG9tgMnAbWceFoz-7BlWCYeT_mBPau5mMRiI1UJWKJffjhKiyrp,https://www.google.com/maps/search/?api=1&query=Georges+%40+The+Cove
Georges Beach Club,"1010 ECP, Singapore 449892",1.3014279,103.9148718,"American, Bar, Seafood, Vegetarian Friendly, Cafe",ATtYBwIE9IXv_AAQ6Y9rxvRlb5DuPtwBampumvNIY4nZVSwM6DpPFhyAqjvCMIJZxm2dS5BGl9eC6aJXIwYJfYQS0JYDQ2jTy7bp3fLkp2WesDJQypyo1OFjMsetJOnb05vYwaHeD-DjzRJ-7AiWYyZDA-I_YPuigwuSRyiv_ks567f5w9Ic,https://www.google.com/maps/search/?api=1&query=Georges+Beach+Club
Georges By The Bay,"#02-12, 500 NewPunggol Rd, The Punggol Settlement, Singapore 828617",1.4206306,103.9123776,"American, Bar, Seafood",ATtYBwKCNAkKLp3UAZ8yN3V0PUdiUSpU0WlETImGufQAnEyvETVTve8kfvylxinX-34sT_h9K5IJjimGR2nzPKDMhzVkrWFEde73-z96d5XPWaR40UlRqdM0ejF2gMDhgs2NeCikay3AficIQkjBaR0cIqGaQh4YNBPAe0skZJ36P6eo4nT1,https://www.google.com/maps/search/?api=1&query=Georges+By+The+Bay
Gibson,"20 Bukit Pasoh Rd, 2nd Floor, Singapore 089834",1.279085,103.840924,"Bar, Seafood",ATtYBwJSqS0PguXuUiBxqWexABW-9WlnjuI5pyeFv93sDrnOtex9k_a2d7__bHsdh3QpRwxzvIIsmGrcNPweBDnIDAUUKS3JQoSttU1g-MkICus3ww67CorUDGJypKl2I4VYCdKpD65CWGQjv3PBvIMRsWg8VaZWdJKmZh008pnc3pL-kITd,https://www.google.com/maps/search/?api=1&query=Gibson
Gin Khao (One Raffles Place),"1, #04-29 Raffles Place, Singapore 048616",1.2838378,103.8510293,"Thai, Fusion, Local",ATtYBwJ_D1DUR6pd74TpNB4153WlEnExb4A4X4GatX33BuM8mCWa480g8LLEaNjhRyqFxRxlAAihR_cvHXwasQTkYWeYatPcD_2Z4rDxXQ0rQvrhfLOnXC7j4y9-SFw4OkUM15LDcWNta-JP-kggdrBV97ra18_3BP68B8kQ4Sdq16jfcW4m,https://www.google.com/maps/search/?api=1&query=Gin+Khao+%28One+Raffles+Place%29
Gin Khao (SAFRA Tampines),"1/A Tampines Street 92, Singapore 528882",1.344724,103.941739,"Chinese, Thai",ATtYBwJcuXl6i05dDoSz-j8dsYMR5c6KyrXKuyWvYGXQlMfLHm8kgkn7xoAovUYRnANUEFyFZa25cRBWi-8ctziwfbEnZwzOFNR9VvyAap5je5HAXK-Fov0ChUyFHDWjSzJLU8UKfx1pE5cYOK_66KnTzncFi3ExrzCN4NT_BCeOt4Ism4cC,https://www.google.com/maps/search/?api=1&query=Gin+Khao+%28SAFRA+Tampines%29
Gin Khao Bistro (Sentosa Cove),"31 Ocean Way, #01-12 Quayside Isle, Singapore 098375",1.2468982,103.8421771,Thai,ATtYBwIwUT0BWDsZGR-LkJW1Q2jsBaxtiBkwiv9PyeYLPsiGB6Cia1gUKjPxIUcIcQvb8va5_ATRhcykKI524V-4NwtHQcL3cLKhzu9rFAqBJb1bj6XznkJRWGLjF0wXNel3vxfZpZM2XosMAp6PdEcFVdxQpDYkRCmuEivBHcMfbpcRoF4V,https://www.google.com/maps/search/?api=1&query=Gin+Khao+Bistro+%28Sentosa+Cove%29
Ginett Restaurant & Wine Bar,"200 Middle Rd, Singapore 188980",1.3008391,103.8513837,"Bar, French, Cafe",ATtYBwJ8KMwqSG6knCHE9u6r49oXcWzRzW-sGYh2BaOuluSzHITZXuAfJRkIymP1WIuSiY1A8kn9CeG5BDonZN3SyWa5vLBNLUEQzXzlqC3eGl3YYdSaRuCXH57dRKQJTfXU59EGGPml4_uPUAz5GKgnqJz_XnlRxAEK_vvP_I2FqA9e-smS,https://www.google.com/maps/search/?api=1&query=Ginett+Restaurant+%26+Wine+Bar
Ginger,"7500 Beach Rd, PARKROYAL on, Singapore 199591",1.2998462,103.8607807,"Buffet, International, Local, Southeast Asian",ATtYBwJEgH1yTn5kuq8t6Mz3qP6RtZL4sGncEeIhkIOwOCe7wIJwOWn4TCD-Xs5YsuPyBp5b5wX9VUQSvWjOgluW05-v4CYnSmxkwrUrUA1t5t7fMHw3vqWEPOvRojLY8zkGXfA6ISlIyvg1eaNu05eJDbh717wHIUpM9iDmUgdaIx_HCKY,https://www.google.com/maps/search/?api=1&query=Ginger
Ginza Shinto,"No.5 Mohamed Sultan Rd, #01-01, Singapore 239014",1.2939596,103.8419325,Japanese,ATtYBwLUYQ8uuHnp4BRY3wiHR1hZaaOlhg0t3JzuITHx_RD0mk1UuVEr7Ch0KdLEpjhbBtZ1gMhzdBYE0BSP-hrt0WHtu6CLDKqVAQbkMxtiQWZ_vrBiGtGjQFSQVGOqudiSsNbEFVt7-n53G48f-kAMjidyQo_FogJXQQU_SA_MuMXYnnna,https://www.google.com/maps/search/?api=1&query=Ginza+Shinto
Godmama,"107 North Bridge Rd, #04-07, Singapore 179105",1.29133,103.850074,"Fusion, Peranakan, Modern Asian",ATtYBwKLiaoSD8u25kBXpIPBedP4bPpJFdeNrLRaE9bhGZpfPsVse9G2NvngfHWsFL4uqFa46cPhwL-KXMGa2Zvhdg10QiRc2SgPAk8gCmnP9jzCWWMZw_YLjwge4VSBGqWLSQPT6EJHDyGFcZ0O7q7-xGrkexSY5RbV2Am_rZUDY5MhVsPV,https://www.google.com/maps/search/?api=1&query=Godmama
Goku Japanese Restaurant,"33 Mohamed Sultan Rd, Singapore 238977",1.2924313,103.8408369,Japanese,ATtYBwIYKi-O2zNsk9irgbZDXIbmjGYo0yzqT02VErLM6VEVWAlvDAxQqYWfsOyMzV19lafgOyTUsVYnLYoDuP50POKoZZUu_7DX7bwIcz-5HfT_t5CaxVIFMYnA9X9-NqdEfS-hQAoy53N7HPIn4Wq3ZW8eWET6vqYzRFNE_Y0AT6kvwkuO,https://www.google.com/maps/search/?api=1&query=Goku+Japanese+Restaurant
Golden Peony,"530A Jurong West Ave 1, Singapore 641530",1.3480737,103.7155237,Chinese,ATtYBwI_skYo_aijtFpLOkdOhlv2nhMJNR3piz_y3eOAlPkQkB2uFEDcpNm3ItbX-UxuxuWSZqhX8rhiZvWevQ-7czSv9csq8uInBHOrSdZNOnrERvcAWxidZwpMAhkQbHfLGXzrDgMy5BSfBxP3QlNJC8_Hz3EfvM80UCQ3qmldFoMzsgS_,https://www.google.com/maps/search/?api=1&query=Golden+Peony
Goldleaf Restaurant (Katong),"88 E Coast Rd, #01-05/06/07 Katong Square, Singapore 423371",1.3047344,103.9046678,"Chinese, Local, Vegetarian",ATtYBwJp6H827IVCGKH9OenIsaCRbQ_ahe3kqEH6bYkgFk1yDmONJaF3hB6ri8YgiNXftdYRSOGnNtr0PT33dcKnFPQv7aXU-e3hrawC2nYBc3nC1gmS0jKq78-ubYcO574iPathwkA5_OH2BTjIMJ3Z1Vw3O5aoDLFPuTFGw3OYhuSC85My,https://www.google.com/maps/search/?api=1&query=Goldleaf+Restaurant+%28Katong%29
The Gong by Drinks&Co.,"7 Fraser St, #01-59 & 60 Duo Galleria, Singapore 189356",1.2994615,103.8583875,"Bar, Modern European, Fusion, International, Steakhouse, Pizza",ATtYBwI2yvFSyAhJpO8OeFlT_ulZdqz0-_VlyKQ6mtL1scZqzcGcIe8bIBpwhLqfgfTWY6zno-q1v3DFDlSGbW0tipSdzm5tAVgdMTnOZoHf8v5UqpLZRJSz2V1DVcJe039BvTgKHq-Wz43gILPmsyRTeUbLG4ob2lPb9fAG2PxyHrZMvRPF,https://www.google.com/maps/search/?api=1&query=The+Gong+by+Drinks%26Co.
Good Bites,"5 Bishan Street 14, #03-01, Singapore 579783",1.3555682,103.8508826,"American, Fusion, Vegetarian Friendly, Cafe",ATtYBwKo5Hl_0hm8rN8ooWbjjCSnJGsPbU4EPwRR6pb1r9kH2jXefn2vgGnfUg5IbEDPBzoO_rIQIJDulbGPXFyGqnOUGMKynSuqYDAFJBnl79_biIm2IvYa6RliRBo2geJP-M_19kPcdORTQt2-YwXHsmFlDGHUZfh9eUV4vBvZ9etTaBI,https://www.google.com/maps/search/?api=1&query=Good+Bites
Good Time Eat Drink,"889 E Coast Rd, Singapore 459092",1.3127384,103.9239972,"Local, Peranakan",ATtYBwKtvfz0RIt5J5oFfUJnrC3i9-AFeVMU8UGaG1n1Ol2FrkjoIg4B0WZ-RnmiH-UHf-rQS2Xzmw9Vk3eSHjdI-B3wjg2zlUVFhAEORfrJW_MVF6Ymk-nc03QsYv94SuzviTDpQPLLZ5ER0Ow6iw7AJ5Fa8KMfLAQHJ1SBoqvw0K-LqWm_,https://www.google.com/maps/search/?api=1&query=Good+Time+Eat+Drink
Goro Japanese Cuisine,"43 Holland Dr, #01-49, Singapore 270043",1.3072044,103.7930683,Japanese,ATtYBwIz1bDk04FHiHBwATk8b7XkklM1p8BlEhjonetokmDXLNta8bhbZtE1IOOp5TUrF_6lp9lxK7a7FMkiBk7YR9dWi0Ft6_L7YrZafGZP4NGK3n42BQ2IZY5kIxFGmDwZUIA6KmJg_Q6QapUmBkTCmKpPrM8_qOoAitaEisdo8HjHlTA_,https://www.google.com/maps/search/?api=1&query=Goro+Japanese+Cuisine
Grand Cru at South Courtyard,"The Fullerton Hotel Singapore, 1 Fullerton Square, #01-07, Singapore 049178",1.2862279,103.8530525,"Bar, Local, Burgers",ATtYBwL2XefGtP3kW-NyvtB7yZAhu1XMAQ9IlpdQ6lYOV4SnQe6UIycQbmtQ-G4i36oDlkGTFpY6VNewbzNLmWTkEzCW1iypYr8ukMa4ZhKOHIn51rpZHIx6blKspVCTTwsWxodFDyyeDRmYXj4ErEvyN3pdkpmX0_1dNCy9vb7qwzevJa8w,https://www.google.com/maps/search/?api=1&query=Grand+Cru+at+South+Courtyard
The Grand Lobby (Raffles Hotel),"1 Beach Rd, Singapore 189673",1.2947131,103.8545594,British,ATtYBwLK1mA4ivWWVuaoysW6_33St_wwTHbKQ9mtUyLLGMSGaA6iahQMkNE5GOMIIN5-2PgWS62s6Z3r-lMSWqPwMpICFIiLDbACj3mdaIXfudX5h7zbu27v4lEGgkhEnIe9EjPSJ7XJad6hI66hyjRvs7SypTPNPxRIWdVoKNv_KcRSnySq,https://www.google.com/maps/search/?api=1&query=The+Grand+Lobby+%28Raffles+Hotel%29
Granny’s Secret,"60 Albert Street #02-07 OG Albert Complex, Singapore 189969",1.3023149,103.8538111,"Chinese, Local, Zi Char",ATtYBwKrXVyH4dMA6JVhvtF05OD5wYsZplxp2cDN30oahKiiudJRF8x3BHraW9LD1AUzuhqtInGeye2gwPJcAzZDCQUwpDj1HTJz87PTCVk9E9s6xphHtT97cAKAmECXYVF2ZJX7NfNUwEkpmXtfhKPRQbDB_DA4PemYjSup43W9GshxcHkr,https://www.google.com/maps/search/?api=1&query=Granny%E2%80%99s+Secret
Grapevine @ Guillemard,"393 Guillemard Rd, Singapore 399790",1.3119444,103.8883333,"American, Italian, Burgers",ATtYBwLVzwpUYmc1B6BhkIYvbgOp8_zN3HOVB5E_CIMPnLrofqXMvA5sd2ZkE7kW_pAqbqHK1Za8zt0xhm5Z4MIWZwuP7xH1n3tL9z1c-F9XYdLj2vWn36Up7gR0JvlO2vlv8gwSb99DEzT0IhNQhd_ABFJlokF5gfoo2Dbo9AJyEfI8s195,https://www.google.com/maps/search/?api=1&query=Grapevine+%40+Guillemard
Grapevine Bar & Restaurant,"393 Guillemard Rd, Singapore 399790",1.3119444,103.8883333,"Bar, Italian, Pizza, Burgers",ATtYBwJyqETFJX171y2gT2yd5Ke0jTui9VvuQrwnK8pzWNLp6aR_n2MTylxyiQYO56iESFRVmFb_Gidlpi0qzsVsRF0gAPHO1fWP5UWxmD8qCebN5kuSnMHAmT69zfmuVIDiqBWRSE9u39aQ7a5EJzXN_uPWSt2nELV_ctXLCK2fasT9bp0x,https://www.google.com/maps/search/?api=1&query=Grapevine+Bar+%26+Restaurant
Gravy Restaurant & Bar,"246 Tanjong Katong Rd, Singapore 437034",1.3064391,103.8956612,"Indian, Vegetarian Friendly, Cafe",ATtYBwLGo09E1vry1dYpdZUZ7WjdaiQHUtFkwHsomvkjw2sAkBmfZZ8wNrfUiwI30U6nJc6_yExezay60NKFtDjEbWi1iLpAcuYB5TtzErCggaZ2O5Ts6OSt6xFV0yIMjJvBnH-ObNj5Dw1GS115bEFiTvJ4xveGCw2Wyyf9ipjq3CB8b7V4,https://www.google.com/maps/search/?api=1&query=Gravy+Restaurant+%26+Bar
GREAThai (East Village),"430 Upper Changi Rd, #01-06, Singapore 487048",1.3319042,103.9466786,"Thai, Halal Certified",ATtYBwJqj3eIEJM_mJPuzyuviF42tZwzwu5a57NKhkBI1woKQtQF6Ude0cr5H8SxmrBmfd91q-6tDk-NkXP4KmoJygJpNee1Qe6t1WFHfq5A6xQqd6IuX5bHx5Jupv8qkVW1gS3Ftn-6akMDbBm2juI5ghCuG9Xsev6SCoGmkTyyv_LLAAsk,https://www.google.com/maps/search/?api=1&query=GREAThai+%28East+Village%29
Greenwood Fish Market @ Asian Cuisine,"31 Ocean Way, 01 - 03, Singapore 098375",1.2477739,103.8419033,"Chinese, Japanese, Seafood",ATtYBwIAUPxpYukYFpQ5kP67GUy1d9l7uRGODgF7aRrhCDtJMl6saJzrBUBA92kWrFxVEJGIG5sVX8szUWh2o0EVAe8TRzn8G3O13ISzP8VzDhUy-wUsV5ybM1blEZ0WSMB3Y7OrQFSEVkcd1YYX76bPSLfMzFX0k9fGX0hd-QO44T8YtQt5,https://www.google.com/maps/search/?api=1&query=Greenwood+Fish+Market+%40+Asian+Cuisine
Greenwood Fish Market @ Bukit Timah,"34 & 38, Greenwood Ave, Singapore 289236",1.331755,103.806437,Seafood,ATtYBwIwvWv9u_xHUQRbCQt1qxYFbDIbDuDepBZInwWVPDoxbhmiutUYaaOXvFYxJ_Ga5Si5zkUidkGmCmUueL5QlMUpph6LawQABcVj_9_ug8Wfrj-i1nwNPy0Y_cmqfirE1kHUvQZTbCn-aYe6bzQSK0W7UjqutH-UHaI_9TGEzNFsiu2-,https://www.google.com/maps/search/?api=1&query=Greenwood+Fish+Market+%40+Bukit+Timah
Greenwood Fish Market @ Quayside Isle,"31 Ocean Way, 01 - 04 / 05, Singapore 098375",1.2477209,103.8419157,Seafood,ATtYBwIUSLgSgs2gLsCz_2FwrW71EUeWxnq2ZpL9qRyOJv6aci6iRNlEP4deKKF9uNKVgJ87tjyzWdUOkdC6R6wWHCIpC9aZtXNbhIN6zPMIXzujjFPdpLBM958pxAOEW9pUMHam1ZGVHrFymUFtvGbHvkuzen0qzGe_PXuzxc0KeGMWcO2J,https://www.google.com/maps/search/?api=1&query=Greenwood+Fish+Market+%40+Quayside+Isle
Grids & Circles,"200 South Bridge Rd, Singapore 058749",1.283561,103.8459405,Cafe,ATtYBwIpMYHezeXTdF6ARkgLKBFaiNUfktV6jlJLwkvfpIkR2sPELg4sUONZwGH_cUghd3bOGetz0IULNkHRN6_PlO2yiRNkLINxydtZLr7LNNwPPniL6iIT4r3lAr5Rdx2-vlb8zlEG-HvjZmkV7Egdk7HPnIFmykuB8rPoQBi5dwJWUkBy,https://www.google.com/maps/search/?api=1&query=Grids+%26+Circles
Grill Ninety Nine,"142 Arab St, Singapore 199828",1.3026,103.858068,"American, Fusion, Seafood, Steakhouse, Vegetarian Friendly, Halal Certified, Cafe, Pizza, BBQ",ATtYBwKFdytcsYSm2ZN5zDPjYdbLvn_1Xdz8LeKhygg3Ei0HtUDWdFp8byubPbRNmdxgLuXXKqAYhTIv9ZEoAzVU5xe2Bxi2nm4veFnJnYn0FnJ6fggzbtMGTv2N4YZP0FhMoOAdwOcA9NjBFfPMrcv36BX5Q2bTdI90Jf2ghloy0HGsfaXL,https://www.google.com/maps/search/?api=1&query=Grill+Ninety+Nine
