Restaurant,Address,Coordinates,Cusines
Dual,48 Arab Street Singapore (199745),"1.300805, 103.8596349","Fusion, Local, Cafe"
Duckland (Paya Lebar),10 Paya Lebar Road B2-33Paya Lebar Quarter Singapore (409057),"1.316608, 103.8924804",Fusion
Duckland (Resorts World Sentosa),26 Sentosa Gateway#B1-222 / 223Resorts World Sentosa Singapore,"1.2565321, 103.8202397","Local, Modern Asian"
Duckland (United Square),101 Thomson Road B1-09&64/65United Square Shopping Mall Singapore (307591),"1.3173196, 103.8438405","Fusion, Cafe, Modern Asian"
Dusk Restaurant & Bar,109 Mount Faber Road Singapore (099203),"1.2713774, 103.8192945","Bar, Modern European, Spanish"
EagleWings Loft,9 King Albert Park#01-14/33/34/56/57KAP Residences Mall Singapore (598332),"1.3370926, 103.7794196",International
East Coast Commune,1000 East Coast Parkway#01-03Singapore (449876),"1.301317, 103.9129037",Cafe
East Treasure Chinese Restaurant,"3 River Valley Road#01-16Clarke Quay, Block B Singapore (179021)","1.2910625, 103.8456521",Chinese
Eat Cetera,12 Alexandra View#01-02/03/04Singapore (158736),"1.2900367, 103.8169318","Bar, Modern European, German, Cafe, BBQ, Russian, Vegetarian"
Eat@Taipei (Kallang Wave Mall),1 Stadium Place#01-35Kallang Wave Mall Singapore (397628),"1.3032243, 103.8728714",Chinese
Eatzi Gourmet Bistro (Paya Lebar Square),60 Paya Lebar Road#B1-15Paya Lebar Square Singapore (409051),"1.3191725, 103.8925563","Steakhouse, Halal Certified"
Eatzi Gourmet Bistro (SAFRA Yishun),60 Yishun Ave 4#01-V2SAFRA Yishun Singapore (769027),"1.4245235, 103.8408313","Steakhouse, Halal Certified"
Edge,7 Raffles Boulevard Level 3Pan Pacific Singapore Singapore (039595),"1.2924176, 103.8585852","Buffet, International, Seafood, Local, Peranakan"
Eight Treasures Vegetarian Restaurant,282A South Bridge Road Singapore (058831),"1.2815386, 103.8447177","Chinese, Malaysian, Local, Vegetarian"
El Mero Mero,30 Victoria Street#01-20CHIJMES Singapore (187996),"1.2949166, 103.8524109","Bar, Seafood, Steakhouse, South American, Vegetarian Friendly, Mexican"
El Teatro Tapas,13 Stamford Road Arcade @ The Capitol Kempinski Singapore (178906),"1.293891, 103.8513613",Spanish
Elbow Room by Drinks & Co,83 Club Street Singapore (069451),"1.2817521, 103.8457289","Bar, Vegetarian Friendly, Pizza, Burgers"
Elemen @ HarbourFront Centre,1 Maritime Square#02-85Harbour Front Centre Singapore (099255),"1.2643389, 103.8201453","Chinese, Vegetarian Friendly"
Elemen @ Millenia Walk,9 Raffles Boulevard Millenia Walk Singapore (039596),"1.2928181, 103.8598344","Chinese, Vegetarian Friendly"
Elemen @ Paya Lebar Quarter,10 Paya Lebar Road#03-13Paya Lebar Quarter Singapore (409057),"1.316608, 103.8924804",Vegetarian
Element Restaurant,165 Tanjong Pagar Road#01-00Amara Hotel Singapore (088539),"1.2747537, 103.8435337","International, Seafood"
Employees Only Singapore,112 Amoy Street Singapore (069932),"1.2820529, 103.8476758","American, Bar"
EMPRESS,1 Empress Place#01-03Asian Civilisations Museum Singapore (179555),"1.2873802, 103.8512492","Chinese, Dim Sum"
Enchanted Garden,70 Jellicoe Road#04-01Singapore (208767),"1.3077922, 103.8625335","Fusion, International, Burgers"
The English House by Marco Pierre White,28 Mohamed Sultan Road Singapore (238972),"1.2931036, 103.8413303",British
Enjoy Eating House and Bar @ Jalan Besar,383 Jalan Besar Road Kam Leng Hotel Singapore (209001),"1.3131786, 103.8596715","Chinese, Local, Peranakan, Zi Char"
Enjoy Eating House and Bar @ Stevens,30 Stevens Road#01-07Mercure on Stevens Singapore (257840),"1.3137963, 103.8287675","Bar, Local, Zi Char"
Epiphyte,47 Neil Road Singapore (028887),"1.279713, 103.84271","Fusion, Southeast Asian, Modern Asian"
Erwin's Gastrobar,8A Marina Boulevard#01-01Ground Plaza Singapore (018984),"1.2797178, 103.8544526","Bar, Italian, Seafood, Vegetarian Friendly, Cafe"
ESCAPE,1 Farrer Park Station Rd Singapore (217562),"1.3127619, 103.8545562","American, Bar"
Esquina,16 Jiak Chuan Road Singapore (089267),"1.2798722, 103.8420751","Modern European, Spanish"
Etna Italian Restaurant (Duxton),49/50 Duxton Road Singapore (089513),"1.2783225, 103.8433345","Italian, Vegetarian Friendly, Pizza"
Etna Italian Restaurant (Upp East Coast),110 Upper East Coast Road Singapore (455298),"1.31329, 103.928821","Italian, Vegetarian Friendly, Pizza"
Euphoria,76 Tras Street Singapore (079015),"1.2774708, 103.8441306","Modern European, French"
Extra Virgin Pizza (Asia Square),8 Marina View#01-04Asia Square Singapore (018960),"1.2792279, 103.8513981","Bar, Italian, Pizza"
Famous Kitchen,54 Sembawang Road Singapore (779085),"1.4027461, 103.8181274","Chinese, Southeast Asian"
Famous Treasure,13 Stamford Road#02-28Capitol Singapore Singapore (178905),"1.2931642, 103.8511386","Chinese, Local"
Farangse,24 Greenwood Avenue Singapore (289221),"1.3314723, 103.8066564","Thai, French"
Fat Cow,1 Orchard Blvd#01-01Camden Medical Centre Singapore (248649),"1.3031723, 103.823822","Bar, Japanese, Steakhouse"
Fat Prince,48 Peck Seah Street Singapore (079317),"1.2779306, 103.844885","Middle Eastern, Vegetarian Friendly, Turkish"
Fatboy's The Burger Bar (Holland Village),29 Lorong Mambong Holland Road Singapore (277689),"1.312156, 103.7941994","American, Burgers"
FATBOY'S The Burger Bar (Northpoint),922 Yishun Ave 2#01-150Northpoint Singapore (769095),"1.4277137, 103.8367706","American, Burgers"
Feng Shui Inn,26 Sentosa Gateway#B1M-125/126/127Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107","Chinese, Dim Sum"
The Fine Line,23 Lorong Mambong Singapore (277682),"1.3114454, 103.7946057","Bar, International, Vegetarian Friendly"
FIRE @ 1-ATICO,2 Orchard Turn#55-01 ION Orchard Singapore (238801),"1.3039288, 103.8319512","Bar, South American, BBQ"
Fish Pool,32 Beach Road The NCO Club Singapore (189764),"1.2940932, 103.8550067","Bar, French, Seafood"
Five &2,97 Hougang Avenue 8Punggol Park Singapore (538792),"1.3750035, 103.8983496","Bar, Modern Asian"
Five Oars Coffee Roasters,39 Tanjong Pagar Road Singapore (088462),"1.2790527, 103.8439926","Fusion, Cafe"
Flame Cafe,73 Upper Paya Lebar Road Level 1Centro Bianco Building Singapore (534818),"1.3367901, 103.8871511","Seafood, Halal Certified, Steamboat"
Fleur de Sel Le Restaurant,64 Tras Street Singapore (079003),"1.277807, 103.8441943","French, Vegetarian Friendly"
FLNT @ 1-ATICO,2 Orchard Turn#55-01 ION Orchard Singapore (238801),"1.3039288, 103.8319512","Bar, South American, BBQ"
FLUTES Restaurant,93 Stamford Road#01-02The National Museum of Singapore Singapore (178897),"1.2966147, 103.8485095",Modern European
Flying Monkey,67 Bussorah Street Singapore (199480),"1.300837, 103.860084","Indian, Vegetarian Friendly"
Fo You Yuan Vegetarian Restaurant 佛有缘素食馆,310 Lavender Street Singapore (338815),"1.3153248, 103.8596181","Chinese, Fusion, Vegetarian Friendly, Local, Vegetarian"
FOC Restaurant,40 Hong Kong Street Singapore (059679),"1.2873338, 103.8475084",Spanish
FOC Sentosa - Restaurant,110 Tanjong Beach Walk Singapore (098943),"1.2467881, 103.8249765",Spanish
Folklore,700 Beach Road Level 2Destination Singapore Beach Road Singapore (199598),"1.302438, 103.864109","Malaysian, Fusion, Local, Southeast Asian, Peranakan, Modern Asian"
Folks Collective - The Eclectic Emporium (AXA Tower),8 Shenton Way01-15/18/23AXA Tower Singapore (068811),"1.2761294, 103.8474403",Thai
Folks Collective - The Vintage Shope (China Square),20 Cross Street#01-25China Square Central Singapore (048422),"1.2839206, 103.8475743",Thai
Food Capital,392 Havelock Road Grand Copthorne Waterfront Hotel Singapore (169663),"1.2900873, 103.8353025","American, Buffet, Chinese, Japanese, Indian, International, Seafood, Local, Southeast Asian"
Food Exchange,28 Stevens Road Novotel Singapore on Stevens Singapore (257878),"1.3137963, 103.8287675","Indian, Thai, International, Seafood, Vegetarian Friendly, Local, Southeast Asian"
FOOK KIN,111 Killiney Road Singapore (239553),"1.2980251, 103.838852",Chinese
Forest 森,16 Sentosa Gateway#01-521/522Resorts Word Sentosa Singapore (098133),"1.255179, 103.8218107",Chinese
Foresta Restaurant & Bar,200 Turf Club Road#01-16The Grandstand Singapore (287994),"1.3380084, 103.7934418","Bar, Fusion"
The Fortune Cookie,11 Bussorah Street Singapore (199432),"1.3011547, 103.8602386","Chinese, Fusion, Local, Southeast Asian"
Four Points Eatery,"382 Havelock Road Four Points by Sheraton Singapore, Riverview Singapore (169629)","1.289185, 103.8366479","Buffet, International, Seafood, Local"
Four Seasons Restaurant,78 Airport Boulevard#B2-227/228Jewel Changi Airport Singapore (819666),"1.3602082, 103.9897593","Chinese, Fusion, Seafood, Vegetarian Friendly, Local, Steamboat, Zi Char"
Fratelli,26 Sentosa Gateway#02-145Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107","Italian, Pizza"
Fratelli Trattoria,26 Sentosa Gateway#02-144Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107",Italian
Freehouse,21A Boon Tat Street Singapore (069620),"1.281301, 103.848486","Bar, Fusion, Vegetarian Friendly"
Fremantle Seafood Market,3E River Valley Road#01-05Singapore (179024),"1.295877, 103.8397203","Australian, Seafood, Southeast Asian"
Frenchie Wine Bar,2 Teck Lim Road Singapore (088380),"1.2801796, 103.8420826","Bar, French"
Frieda (The Capitol Kempinski Hotel Singapore),15 Stamford Road Arcade @ The Capitol Kempinski Singapore (178906),"1.293891, 103.8513613",German
Friends Tasty Korea,431 Sembawang Road#01-11Singapore (758396),"1.4280836, 103.8265395","Bar, Buffet, Korean, BBQ"
Frog Meat Fish Head 美蛙鱼头,5 Mosque Street Singapore (059485),"1.284032, 103.844054","Chinese, Steamboat"
Fu Lin Bar & Kitchen,127 Telok Ayer Street Singapore (068596),"1.2811178, 103.8479356","Chinese, Spanish, Local"
Fuego Bar & Kitchen,438B Alexandra Road01-01Alexandra Technopark Block B Singapore (119968),"1.277416, 103.7994388","American, Bar, Spanish"
Fukusen Izakaya,51 Jalan Sultan Singapore (198975),"1.3024337, 103.8615408","Bar, Japanese, BBQ"
Full of Luck Restaurant,243 Holland Avenue Singapore (278977),"1.311079, 103.795575","Bar, Chinese, Fusion"
fȳr,"19 Boon Tat Street,Singapore (069619)","1.2813737, 103.8484499","Modern European, Steakhouse"
G7 Sin Ma Live Seafood and Frog Porridge,163 Geylang Road Singapore (389240),"1.3115711, 103.8745506","Chinese, Seafood, Zi Char"
Gabbar Bistro & Bar,3B River Valley Road#01-14Singapore (179021),"1.2958738, 103.8396851","Bar, Indian, Vegetarian Friendly"
Gaig,16 Stanley Street Singapore (068735),"1.280476, 103.84807",Spanish
The Gallery Bistro,1 St Andrew's Road #01/12/13/14 & 17City Hall Wing National Gallery Singapore Singapore (178957),"1.2902217, 103.8515167",Cafe
The Garden Kitchen,10 Raeburn Park#01-28Singapore (088702),"1.2740256, 103.8334078","American, Japanese, British"
The Garden,30 Allanbrooke Road Singapore (099983),"1.2479722, 103.8274872","International, Vegetarian Friendly"
Garibaldi Italian Restaurant & Bar,36 Purvis Street#01-02Singapore (188613),"1.2964499, 103.8549138",Italian
Gaston,25 Keong Saik Road Singapore (089132),"1.279837, 103.84145",French
Gattopardo Ristorante di Mare,34/36 Tras Street Singapore (078975),"1.2784339, 103.8443601","Italian, Seafood"
GaZette,165 Telok Ayer Singapore (068617),"1.2802071, 103.847481",Modern European
Gem Bar,10 Ann Siang Hill Singapore (069789),"1.2813581, 103.8454135","Local, Southeast Asian, Burgers"
Genius Central Singapore,7-13 Amoy Street#01-01Far East Square Singapore (049949),"1.282888, 103.848436","Cafe, Pizza, Burgers"
George Town Tze Char & Craft Beer,81 Boat Quay Singapore (049869),"1.2884155, 103.8492835","Bar, Chinese, Local"
Georges @ The Cove,133 Pasir Ris Road Carpark E Singapore (519149),"1.3843563, 103.9426012","American, Bar, Seafood, Vegetarian Friendly, Local, Cafe"
Georges Beach Club,1010 East Coast Parkway Carpark C3Singapore (449892),"1.3014279, 103.9148718","American, Bar, Seafood, Vegetarian Friendly, Cafe"
Georges By The Bay,500 New Punggol Road#02-12Singapore (828617),"1.4208268, 103.9123599","American, Bar, Seafood"
Gibson,18/20 Bukit Pasoh Road Singapore (089832),"1.279116, 103.8409437","Bar, Seafood"
Gin Khao (One Raffles Place),1 Raffles Place#04-29One Raffles Place Singapore (048616),"1.284177, 103.851063","Thai, Fusion, Local"
Gin Khao (SAFRA Tampines),1/A Tampines Street 92#01-K2Singapore (528882),"1.3446019, 103.9416649","Chinese, Thai"
Gin Khao Bistro (Sentosa Cove),"31 Ocean Way,#01-12Quayside Isle Singapore (098375)","1.2476808, 103.8420723",Thai
Ginett Restaurant & Wine Bar,200 Middle Road Singapore (188980),"1.3008771, 103.8515427","Bar, French, Cafe"
Ginger,7500 Beach Road PARKROYAL on Beach Road Singapore (199591),"1.3001787, 103.8604032","Buffet, International, Local, Southeast Asian"
Ginza Shinto,No.5 Mohamed Sultan Road#01-01Singapore (239014),"1.2939596, 103.8419325",Japanese
Godmama,107 North Bridge Road#04-07Funan Mall Singapore (179105),"1.291321, 103.8500832","Fusion, Peranakan, Modern Asian"
Goku Japanese Restaurant,33 Mohamed Sultan Road#01-01/02Singapore (238977),"1.2923785, 103.8408052",Japanese
Golden Peony,2 Temasek Boulevard Conrad Centennial Hotel Singapore (038982),"1.2932404, 103.8587623",Chinese
Goldleaf Restaurant (Katong),86 East Coast Road#01-02Katong Square Singapore (428788),"1.3047255, 103.9046894","Chinese, Local, Vegetarian"
The Gong by Drinks&Co.,7 Fraser Street#01-59/60Duo Galleria Singapore (189356),"1.2992641, 103.8579913","Bar, Modern European, Fusion, International, Steakhouse, Pizza"
Good Bites,5 Bishan Street 14#03-01Bishan Sports Hall Singapore (579783),"1.3552778, 103.8508333","American, Fusion, Vegetarian Friendly, Cafe"
Good Time Eat Drink,889 East Coast Road Singapore (459092),"1.312892, 103.9239769","Local, Peranakan"
Goro Japanese Cuisine,43 Holland Drive#01-49Singapore (270043),"1.3072044, 103.7930683",Japanese
Grand Cru at South Courtyard,1 Fullerton Square Lobby - Level 1South Courtyard The Fullerton Hotel Singapore Singapore (049178),"1.2863532, 103.8530671","Bar, Local, Burgers"
Grand jeté izakaya,12 Kallang Avenue#02-07/08Aperia Mall Singapore (339511),"1.3100591, 103.8643756","Bar, Japanese, Seafood, Vegetarian Friendly, Cafe"
The Grand Lobby (Raffles Hotel),1 Beach Road Raffles Singapore Singapore (189673),"1.2948829, 103.8544791",British
Granny’s Secret,60 Albert Street Level 2Singapore (189969),"1.3024158, 103.8539626","Chinese, Local, Zi Char"
Grapevine @ Guillemard,393 Guillemard Road Singapore (399790),"1.3119868, 103.8883456","American, Italian, Burgers"
Grapevine Bar & Restaurant,787 Upper Serangoon Road Singapore (534654),"1.355462, 103.8793532","Bar, Italian, Pizza, Burgers"
Gravy Restaurant & Bar,1 Hoe Chiang Road Singapore (089310),"1.2740918, 103.8426845","Indian, Vegetarian Friendly, Cafe"
GREAThai (East Village),430 Upper Changi Road#01-06East Village Singapore (487048),"1.3318464, 103.9463496","Thai, Halal Certified"
Greenhouse Cafe,30 Tuas Bay Drive Singapore (637548),"1.3152309, 103.6327094","American, Bar, Japanese, Italian, Vegetarian Friendly"
Greenwood Fish Market @ Asian Cuisine,31 Ocean Way#01-02Quayside Isle Singapore (098375),"1.24805, 103.8415831","Chinese, Japanese, Seafood"
Greenwood Fish Market @ Bukit Timah,34 & 38 Greenwood Avenue Singapore (289236),"1.3318927, 103.8062581",Seafood
Greenwood Fish Market @ Quayside Isle,31 Ocean Way#01-04/05Quayside Isle @ Sentosa Cove Singapore (098375),"1.2477209, 103.8419157",Seafood
Grids & Circles,200 South Bridge Road Singapore (058749),"1.2836154, 103.8458592",Cafe
Grill Ninety Nine,142 Arab Street Singapore (199828),"1.3026001, 103.8580683","American, Fusion, Seafood, Steakhouse, Vegetarian Friendly, Halal Certified, Cafe, Pizza, BBQ"
Grissini,392 Havelock Road Grand Copthorne Waterfront Hotel Singapore (169663),"1.2900873, 103.8353025","Italian, Vegetarian Friendly"
Group Therapy Coffee (Cross Street Exchange),181 South Bridge Road#01-05 & #K1-04Singapore (058743),"1.2838372, 103.8470596","American, Australian, All-Day Breakfast, Vegetarian Friendly"
GRUB (Bishan Park),510 Ang Mo Kio Avenue 1 (Bishan Park 1)Singapore 569983,"1.3649722, 103.8358919","American, All-Day Breakfast, Cafe, Burgers"
The Grumpy Bear @ Ang Mo Kio,216 Ang Mo Kio Avenue 4#01-03Kebun Baru Community Centre Singapore (569897),"1.3730489, 103.8375807","American, All-Day Breakfast, Burgers"
The Grumpy Bear @ Bukit Timah,1 Jalan Anak Bukit#02-01B Bukit Timah Plaza Singapore (588996),"1.3386346, 103.7785322","American, Local, Cafe"
The Grumpy Bear @ Safra Jurong,333 Boon Lay Way#2B-02 SAFRA Jurong Singapore (649848),"1.335065, 103.7062804","Cafe, Dessert Only"
The Grumpy Bear @ Thomson,301 Upper Thomson Road#02-10Thomson Plaza Singapore (574408),"1.3548, 103.8308","Fusion, Seafood, Steakhouse, Vegetarian Friendly, Local, Cafe"
Gu Ma Jia,45 Tai Thong Crescent Sennett Estate Singapore (347866),"1.3284529, 103.8699639","Chinese, Seafood, Local, Zi Char"
Guccio Ristorante,20 Gemmill Lane Singapore (069256),"1.2822119, 103.8471948",Italian
Guenpin Fugu & Snow Crab Restaurant,32 Maxwell Road#01-06Maxwell Chambers Singapore (069115),"1.2772982, 103.8463669","Japanese, Seafood"
The Guild,55 Keong Saik Road#01-01Singapore (089158),"1.2806857, 103.8414578","Bar, Modern European"
Gunther's,36 Purvis Street#01-03Singapore (188613),"1.2964499, 103.8549138",French
Gustoso Ristorante Italiano,26 Jalan Selaseh Seletar Hills Estate Singapore (808445),"1.3854938, 103.872871",Italian
The Gyu Bar,30 Stevens Road#01-08Singapore (257840),"1.3139157, 103.8284694",Japanese
Gyu-Kaku (CHIJMES),30 Victoria Street#01-01/02CHIJMES Singapore (187996),"1.296991, 103.8527687","Buffet, Japanese, BBQ"
Gyu-Kaku (City Square Mall),180 Kitchener Road#05-05City Square Mall Singapore (208539),"1.3111877, 103.8566675","Buffet, Japanese, BBQ"
Gyu-Kaku (KINEX),11 Tanjong Katong Road#01-14KINEX Singapore (437157),"1.3147221, 103.8947554","Buffet, Japanese, BBQ"
Gyu-Kaku (Marina Square),6 Raffles Boulevard#02-106Marina Square Singapore (039594),"1.2911534, 103.8576778","Buffet, Japanese, BBQ"
Gyu-Kaku (Novena Square),238 Thomson Road#02-46Singapore (307683),"1.3199572, 103.8439076","Buffet, Japanese, BBQ"
Gyu-Kaku (The Centrepoint),176 Orchard Road#02-53/54The Centrepoint Singapore (238843),"1.3021393, 103.8396031","Buffet, Japanese, BBQ"
Gyu-Kaku (The Star Vista),1 Vista Exchange Green#02-17The Star Vista Singapore (138617),"1.3068072, 103.7883997","Buffet, Japanese, BBQ"
Gyu-Kaku (UE Square),81A Clemenceau Avenue#01-18/19UE Square Singapore (239918),"1.2921277, 103.842538","Buffet, Japanese, BBQ"
Gyu-Kaku (Waterway Point),83 Punggol Central#01-33Waterway Point Singapore (828761),"1.40669, 103.9021738","Buffet, Japanese, BBQ"
割烹 旬水 Kappo Shunsui,5 Koek Rd#04-02Cuppage Plaza Singapore (228796),"1.3019646, 103.8407001",Japanese
Habitat Coffee,223 Upper Thomson Road Singapore (574355),"1.3527755, 103.8345245","American, Italian, Cafe"
Hai Tien Lo,7 Raffles Boulevard Level 3Pan Pacific Singapore Singapore (039595),"1.2924176, 103.8585852","Chinese, Seafood, Vegetarian Friendly, Dim Sum"
Hai Xian Lao 海鲜捞 (Isetan Scotts),350 Orchard Road Level 4Isetan Shaw House Singapore (238868),"1.3059065, 103.8314983","Chinese, Steamboat"
Hai Xian Lao 海鲜捞 (Wilkie),"8 Wilkie Road#01-21, Wilkie Edge Singapore (228095)","1.3018268, 103.8498565","Buffet, Chinese, Thai, Seafood, Local, Southeast Asian, Steamboat"
Hair of the Dog,2 Handy Road#01-11/12The Cathay Singapore (229233),"1.299308, 103.8474727",French
Halcyon & Crane,290 Orchard Road#03-09Paragon Shopping Centre Singapore (238859),"1.3038699, 103.8357982","Bar, Modern European, Chinese, Australian, Fusion, International, Vegetarian Friendly, Cafe"
Haldhi Restaurant and Bar,61 Boat Quay Singapore (049849),"1.2875148, 103.8492407","Bar, Indian, Vegetarian Friendly, BBQ, Vegetarian"
The Halia at Singapore Botanic Gardens,"1 Cluny Road Ginger Garden, Botanic Gardens Singapore (259569)","1.3109685, 103.8148604","Fusion, Vegetarian Friendly, Halal Certified"
Hana Restaurant,"583 Orchard Road, #01-17,Forum The Shopping Mall Singapore (238884)","1.3061111, 103.8286111",Japanese
Hanashizuku Japanese Cuisine,5 Koek Road#02-01Cuppage Plaza Singapore (228796),"1.3018423, 103.8407889",Japanese
Handlebar @ Gillman Barracks,10 Lock Road Singapore (108938),"1.2786035, 103.8047957","American, Bar"
"Hannibal, European Grill & Pizza-Bar",80 Mohamed Sultan Road#01-04 The Pier at Robertson Singapore (239013),"1.2918135, 103.8406509","Italian, Steakhouse, German, Cafe, Pizza, Burgers"
HANS IM GLÜCK German Burgergrill (Boat Quay),71-72 Boat Quay Singapore (049860),"1.2880225, 103.8493556","Bar, Vegetarian Friendly, German, Burgers"
HANS IM GLÜCK German Burgergrill (Orchard),362 Orchard Road International Building Singapore (238887),"1.305891, 103.8304798","Bar, Vegetarian Friendly, German, Burgers"
HANS IM GLÜCK German Burgergrill (Raffles Place),9 Raffles Place#01-01Republic Plaza Singapore (048619),"1.2831532, 103.8511017","Bar, Vegetarian Friendly, German, Burgers"
HANS IM GLÜCK German Burgergrill (VivoCity),1 Harbourfront Walk#01-57Vivo City Singapore (098585),"1.2633512, 103.8232553","Bar, German, Burgers"
Happiness Seafood by Uncle Leong Signatures,27 Lorong 13 Geylang Singapore (388670),"1.3138372, 103.8773328","Chinese, Seafood, Zi Char"
Happy Dining Seafood 喜来聚海鲜,50 Temple Street Singapore (058595),"1.2833282, 103.8436738","Chinese, Seafood, Vegetarian Friendly, Local, BBQ"
Hard Rock Cafe (Cuscaden),"50 Cuscaden Road#02/03-01, HPL House Singapore (249724)","1.3057875, 103.8281305","American, Bar, Burgers"
Hard Rock Cafe (Sentosa),"26 Sentosa Gateway#01-209-214 The Forum, Sentosa Island Singapore (098138)","1.255179, 103.8218107","American, Bar, Cafe, Burgers, BBQ"
Harry's (18 Tai Seng),18 Tai Seng Street#01-K4/23-25Singapore (539775),"1.3363233, 103.8892129","American, Bar, Pizza, Burgers"
Harry's (Angullia Park),545 Orchard Road#01-01/02Far East Shopping Centre Singapore (238882),"1.3057392, 103.8299232","American, Bar, Pizza, Burgers"
Harry's (Boat Quay),28 Boat Quay Singapore (049818),"1.2858214, 103.8497276","American, Bar, Pizza, Burgers"
Harry's (Changi Village),1 Netheravon Road#01-04/05Village Hotel Changi Singapore (508502),"1.3904345, 103.9861364","American, Bar, Pizza, Burgers"
Harry's (CHIJMES),30 Victoria Street#01-14CHIJMES Singapore (187996),"1.294692, 103.8526249","American, Bar, Pizza, Burgers"
Harry's (China Square Central),181 South Bridge Road#01-03/K2Singapore (058743),"1.2839879, 103.8473944","American, Bar, Pizza, Burgers"
Harry's (Clarke Quay),3D River Valley Road#01-01Singapore (179023),"1.2958784, 103.839736","American, Bar, Pizza, Burgers"
Harry's (Cuppage),17/19 Cuppage Road Cuppage Terrace Singapore (229450),"1.301777, 103.8402526","American, Bar, Pizza, Burgers"
Harry's (Dempsey Hill),11 Dempsey Road#01-17A Singapore (249673),"1.3041967, 103.8100139","American, Bar, Pizza, Burgers"
Harry's (Esplanade),8 Raffles Avenue#01-05/07Esplanade Mall Singapore (039802),"1.28967, 103.8562856","American, Bar, Pizza, Burgers"
Harry's (HarbourFront),1 Maritime Square#01-64Harbour Front Centre Singapore (099253),"1.2650072, 103.8200037","American, Bar, Pizza, Burgers"
Harry's (Holland Village),22 Lorong Mambong Singapore (277681),"1.3115439, 103.7949792","American, Bar, Pizza, Burgers"
Harry's (Mapletree Business City),40 Pasir Panjang Road#02-43/44Singapore (117383),"1.2754062, 103.7997842","American, Bar, Pizza, Burgers"
Harry's (Marina Bay Link Mall),8A Marina Boulevard#01-03Ground Plaza Singapore (018984),"1.2799447, 103.8547618","American, Bar, Pizza, Burgers"
Harry's (Novena),238 Thomson Road#01-59/60Novena Square Singapore (307683),"1.3198822, 103.8439452","American, Bar, Pizza, Burgers"
Harry's (Resorts World Sentosa),26 Sentosa Gateway#01-215/216Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107","American, Bar, Pizza, Burgers"
Harry's (Riverside Point),30 Merchant Road#01-04Singapore (058282),"1.2895277, 103.8439076","American, Bar, Pizza, Burgers"
Harry's (South Beach),26 Beach Road#01-18Singapore (189768),"1.2947213, 103.8560526","American, Bar, Pizza, Burgers"
Harry's (Tampines Grande),9 Tampines Grande#01-09Singapore (528735),"1.3557701, 103.9414999","American, Bar, Pizza, Burgers"
Harry's (The Quayside),60 Robertson Quay#01-05/06Singapore (238252),"1.2903566, 103.8394691","American, Bar, Pizza, Burgers"
Haruyuki Japanese Restaurant,1 Seletar Road#02-12Greenwich V Singapore (807011),"1.3873705, 103.8694069",Japanese
Hathaway,13 Dempsey Road#01-07Singapore (249674),"1.3047447, 103.8103509",Modern Asian
Haven Bistro,407 Jalan Besar Road Singapore (209012),"1.3137754, 103.8597872","Fusion, Seafood"
Heart of Darkness,1 Keong Saik Road Singapore (089109),"1.2789177, 103.8414072","American, Bar, Vietnamese"
Heirloom Bistro,273 Holland Avenue#01-01Singapore (278992),"1.3114, 103.79564","French, Fusion, Cafe"
Hide by Hide Yamamoto,12 Artillery Avenue#01-04/05/06Singapore (099953),"1.252019, 103.820981",Japanese
The Hideout at District 20,38 Jalan Pemimpin#01-03M38 Singapore (577178),"1.34834, 103.8416902","American, Fusion"
Hilton All-Day Pop-Up Restaurant,581 Orchard Road Lobby Level Hilton Singapore Singapore (238883),"1.305891, 103.82942","International, Vegetarian Friendly"
The Hitsuji Club,65 Circular Road Singapore (049419),"1.2863483, 103.8491838","Bar, Japanese, BBQ"
Hokkai Villa,33-35 Pekin Street Far East Square Singapore (048763),"1.2837308, 103.8483466",Japanese
Holey Moley Golf Club (Dining),3B River Valley Road#01-01Singapore (179024),"1.2958784, 103.839736","Bar, Vegetarian Friendly, Pizza, Burgers"
HolyCrab,13 Stamford Road#01-85 Singapore (178905),"1.2930748, 103.8510451","Seafood, Southeast Asian, Modern Asian"
Home Of Seafood,1 Joo Chiat Place Singapore (427739),"1.3132318, 103.8998721","Chinese, Seafood, Halal Certified"
Homeground Grill & Bar,1088 Serangoon Road Singapore (328188),"1.3238241, 103.8650069","American, Bar, BBQ"
Honguo (Bugis Junction),200 Victoria Street#B1-06Bugis Junction Singapore (188021),"1.2992907, 103.8553101",Chinese
Honguo (NEX),23 Serangoon Central#B1-75NEX Singapore (556083),"1.3507723, 103.8722585",Chinese
HooHa Cafe,3 South Buona Vista Road#B1-06Viva Vista Mall Singapore (118136),"1.279654, 103.7861058","American, Cafe"
Hopscotch,45 Malan Road Singapore (109443),"1.274611, 103.8039141","Bar, Fusion, BBQ"
The Horse's Mouth,"583 Orchard Road, #B1-39Forum the Shopping Mall Singapore (238884)","1.3061111, 103.8286111","Bar, Japanese"
Hot Stones Steak and Seafood,3D River Valley Road#01-06Singapore (179023),"1.2958766, 103.8397164","American, Bar, Modern European, Steakhouse"
